uniprotIdA,uniprotIdB,entrezGeneIdA,entrezGeneIdB,ensemblIdA,ensemblIdB,hgncSymbolA,hgncSymbolB,detectionMethod,interactionType,pubmedId,throughput,reliabilityScore
P30533,Q99523,4043,6272,ENSG00000163956,ENSG00000134243,LRPAP1,SORT1,surface plasmon resonance,direct interaction,19122660,small scale,0.4
P31749,Q92945,207,8570,ENSG00000142208,ENSG00000088247,AKT1,KHSRP,protein kinase assay,phosphorylation reaction,19198587,small scale,0.25
P35658,Q9UMR2,8021,11269,ENSG00000126883,ENSG00000157349,NUP214,DDX19B,molecular sieving|peptide array|x-ray crystallography|pull down|static light scattering|surface plasmon resonance,direct interaction,19208808|19219046,small scale,0.59
O14744,Q9Y6K1,10419,1788,ENSG00000100462,ENSG00000119772,PRMT5,DNMT3A,pull down|anti tag coimmunoprecipitation|anti bait coimmunoprecipitation,direct interaction|physical association,19234465,small scale,0.53
Q15554,Q8NEM0,7014,79648,ENSG00000132604,ENSG00000147316,TERF2,MCPH1,pull down|bimolecular fluorescence complementation|anti tag coimmunoprecipitation,physical association|direct interaction,19287395,small scale,0.53
O14980,O95149,7514,10073,ENSG00000082898,ENSG00000169371,XPO1,SNUPN,pull down|molecular sieving|x ray scattering|isothermal titration calorimetry|x-ray crystallography,physical association|direct interaction,19339969|19339972|23850451,small scale,0.66
O14980,Q9GZX7,7514,57379,ENSG00000082898,ENSG00000111732,XPO1,AICDA,anti tag coimmunoprecipitation,physical association,19412186,small scale,0.37
P52294,Q9GZX7,3836,57379,ENSG00000114030,ENSG00000111732,KPNA1,AICDA,pull down,physical association,19412186,small scale,0.37
O00505,Q9GZX7,3839,57379,ENSG00000102753,ENSG00000111732,KPNA3,AICDA,pull down,physical association,19412186,small scale,0.37
P61088,Q9Y4K3,7334,7189,ENSG00000177889,ENSG00000175104,UBE2N,TRAF6,molecular sieving|surface plasmon resonance|two hybrid|x-ray crystallography,direct interaction,19465916,small scale,0.5
Q9H1J1,Q9HAU5,65110,26019,ENSG00000169062,ENSG00000151461,UPF3A,UPF2,pull down|surface plasmon resonance|anti bait coimmunoprecipitation,direct interaction|physical association,19503078|20479275,small scale,0.59
Q9BZI7,Q9H1J1,65109,65110,ENSG00000125351,ENSG00000169062,UPF3B,UPF3A,pull down,direct interaction|physical association,19503078,small scale,0.44
P53990,Q7LBR1,9798,57132,ENSG00000182149,ENSG00000255112,IST1,CHMP1B,electron tomography|surface plasmon resonance|transmission electron microscopy,direct interaction,26634441|19525971,small scale,0.5
O43633,Q9Y3E7,27243,100526767,ENSG00000130724,ENSG00000115561,CHMP2A,,pull down|transmission electron microscopy,direct interaction,19525971,small scale,0.42
O43323,Q96QV1,50846,64399,ENSG00000139549,ENSG00000164161,DHH,HHIP,static light scattering|surface plasmon resonance|molecular sieving|x-ray crystallography,direct interaction,19561611,small scale,0.5
P01111,Q13322,4893,2887,ENSG00000213281,ENSG00000106070,NRAS,GRB10,anti tag coimmunoprecipitation,physical association,19648926,small scale,0.37
P01111,Q14449,4893,2888,ENSG00000213281,ENSG00000115290,NRAS,GRB14,anti tag coimmunoprecipitation,physical association,19648926,small scale,0.37
P02511,P42574,1410,836,ENSG00000109846,ENSG00000164305,CRYAB,CASP3,pull down,direct interaction,18669646,small scale,0.4
P42574,Q14790,836,841,ENSG00000164305,ENSG00000064012,CASP3,CASP8,protease assay,direct interaction,18669646,small scale,0.4
P07814,Q13155,2058,7965,ENSG00000136628,ENSG00000106305,EPRS1,AIMP2,molecular sieving,physical association,18695251,small scale,0.37
Q13625,Q92843,7159,599,ENSG00000143514,ENSG00000129473,TP53BP2,BCL2L2,surface plasmon resonance|peptide array,direct interaction,18719108,small scale,0.46
Q07817,Q13625,598,7159,ENSG00000171552,ENSG00000143514,BCL2L1,TP53BP2,surface plasmon resonance|peptide array,direct interaction,18719108,small scale,0.46
P49427,P62988,997,,ENSG00000099804,,CDC34,,x-ray crystallography|nuclear magnetic resonance|comigration in sds page,direct interaction|covalent binding,24316736|18723677,small scale,0.55
P42574,P55212,836,839,ENSG00000164305,ENSG00000138794,CASP3,CASP6,protease assay,cleavage reaction,18723680,small scale,0.25
P55210,P55212,840,839,ENSG00000165806,ENSG00000138794,CASP7,CASP6,protease assay,cleavage reaction,18723680,small scale,0.25
P55210,P55211,840,842,ENSG00000165806,ENSG00000132906,CASP7,CASP9,protease assay,cleavage reaction,18723680,small scale,0.25
P42574,P55957,836,637,ENSG00000164305,ENSG00000015475,CASP3,BID,protease assay,cleavage reaction,18723680,small scale,0.25
P42574,P52566,836,397,ENSG00000164305,ENSG00000111348,CASP3,ARHGDIB,protease assay,cleavage reaction,18723680,small scale,0.25
P52566,P55210,397,840,ENSG00000111348,ENSG00000165806,ARHGDIB,CASP7,protease assay,cleavage reaction,18723680,small scale,0.25
P42574,Q15185,836,10728,ENSG00000164305,ENSG00000110958,CASP3,PTGES3,protease assay,cleavage reaction,18723680,small scale,0.25
P55210,Q15185,840,10728,ENSG00000165806,ENSG00000110958,CASP7,PTGES3,protease assay,cleavage reaction,18723680,small scale,0.25
P62988,Q969F2,,85409,,ENSG00000145506,,NKD2,anti bait coimmunoprecipitation|comigration in sds page,physical association|covalent binding,18757723,small scale,0.43
Q969F2,Q96BH1,85409,64320,ENSG00000145506,ENSG00000163481,NKD2,RNF25,anti bait coimmunoprecipitation|anti tag coimmunoprecipitation,physical association,18757723,small scale,0.42
P62988,Q16236,,4780,,ENSG00000116044,,NFE2L2,anti tag coimmunoprecipitation|comigration in sds page,physical association|covalent binding,17015834|18757741,small scale,0.49
P19338,Q86UQ8,4691,58160,ENSG00000115053,ENSG00000230257,NCL,NFE4,anti tag coimmunoprecipitation,physical association,19234465,small scale,0.37
Q8NEM0,Q9NYB0,79648,54386,ENSG00000147316,ENSG00000166848,MCPH1,TERF2IP,anti bait coimmunoprecipitation,physical association,19287395,small scale,0.37
Q96QC0,Q9NYB0,5514,54386,ENSG00000204569,ENSG00000166848,PPP1R10,TERF2IP,anti bait coimmunoprecipitation,physical association,19287395,small scale,0.37
Q15554,Q92878,7014,10111,ENSG00000132604,ENSG00000113522,TERF2,RAD50,anti tag coimmunoprecipitation,physical association,19287395,small scale,0.37
O60934,Q15554,4683,7014,ENSG00000104320,ENSG00000132604,NBN,TERF2,anti tag coimmunoprecipitation,physical association,19287395,small scale,0.37
P49959,Q15554,4361,7014,ENSG00000020922,ENSG00000132604,MRE11,TERF2,anti tag coimmunoprecipitation,physical association,19287395,small scale,0.37
Q92558,Q9NYB9,8936,10152,ENSG00000112290,ENSG00000138443,WASF1,ABI2,pull down,physical association,19363480,small scale,0.37
Q7L576,Q92558,23191,8936,ENSG00000273749,ENSG00000112290,CYFIP1,WASF1,pull down,physical association,19363480,small scale,0.37
P63000,Q92558,5879,8936,ENSG00000136238,ENSG00000112290,RAC1,WASF1,pull down,physical association,19363480,small scale,0.37
P63000,Q9NYB9,5879,10152,ENSG00000136238,ENSG00000138443,RAC1,ABI2,pull down,physical association,19363480,small scale,0.37
P63000,Q8WUW1,5879,55845,ENSG00000136238,ENSG00000254999,RAC1,BRK1,pull down,physical association,19363480,small scale,0.37
P63000,Q7L576,5879,23191,ENSG00000136238,ENSG00000273749,RAC1,CYFIP1,pull down,physical association,21107423|19363480,small scale,0.43
P62988,Q13155,,7965,,ENSG00000106305,,AIMP2,anti tag coimmunoprecipitation,physical association,18695251,small scale,0.37
P00533,Q9UJM3,1956,54206,ENSG00000146648,ENSG00000116285,EGFR,ERRFI1,x-ray crystallography|classical fluorescence spectroscopy|anti bait coimmunoprecipitation,direct interaction|physical association,23273428|18046415|18776048,small scale,0.63
P00533,Q6NZI2,1956,284119,ENSG00000146648,ENSG00000177469,EGFR,CAVIN1,anti bait coimmunoprecipitation,physical association,18776048,small scale,0.37
P00533,P51149,1956,7879,ENSG00000146648,ENSG00000075785,EGFR,RAB7A,anti bait coimmunoprecipitation,physical association,18776048,small scale,0.37
P52292,P52298,3838,22916,ENSG00000182481,ENSG00000114503,KPNA2,NCBP2,pull down,physical association,19668212,small scale,0.37
Q15022,Q15910,23512,2146,ENSG00000178691,ENSG00000106462,SUZ12,EZH2,anti tag coimmunoprecipitation|anti bait coimmunoprecipitation,physical association,20543829|20075857|19734898,small scale,0.53
O75367,Q15910,9555,2146,ENSG00000113648,ENSG00000106462,MACROH2A1,EZH2,anti bait coimmunoprecipitation,physical association,19734898,small scale,0.37
Q15022,Q9P0M6,23512,55506,ENSG00000178691,ENSG00000099284,SUZ12,MACROH2A2,anti tag coimmunoprecipitation,physical association,19734898,small scale,0.37
P08588,P32121,153,409,ENSG00000043591,ENSG00000141480,ADRB1,ARRB2,anti tag coimmunoprecipitation,physical association,18787115,small scale,0.37
P08588,P49407,153,408,ENSG00000043591,ENSG00000137486,ADRB1,ARRB1,anti tag coimmunoprecipitation,physical association,18787115,small scale,0.37
P23921,Q13315,6240,472,ENSG00000167325,ENSG00000149311,RRM1,ATM,anti bait coimmunoprecipitation,physical association,19015526,small scale,0.37
Q7LG56,Q92878,50484,10111,ENSG00000048392,ENSG00000113522,RRM2B,RAD50,anti bait coimmunoprecipitation,physical association,19015526,small scale,0.37
O60934,Q7LG56,4683,50484,ENSG00000104320,ENSG00000048392,NBN,RRM2B,anti bait coimmunoprecipitation,physical association,19015526,small scale,0.37
P49959,Q7LG56,4361,50484,ENSG00000020922,ENSG00000048392,MRE11,RRM2B,anti bait coimmunoprecipitation,physical association,19015526,small scale,0.37
Q14686,Q9UMN6,23054,9757,ENSG00000198646,ENSG00000272333,NCOA6,KMT2B,anti bait coimmunoprecipitation,physical association,17021013|19047629|19433796,small scale,0.47
Q14686,Q8NEZ4,23054,58508,ENSG00000198646,ENSG00000055609,NCOA6,KMT2C,anti bait coimmunoprecipitation,physical association,17021013|19433796|19047629,small scale,0.47
O15550,Q14686,7403,23054,ENSG00000147050,ENSG00000198646,KDM6A,NCOA6,anti bait coimmunoprecipitation,physical association,19433796|19047629,small scale,0.43
O14607,Q14686,7404,23054,ENSG00000183878,ENSG00000198646,UTY,NCOA6,anti bait coimmunoprecipitation,physical association,19433796|19047629,small scale,0.43
Q14686,Q6ZW49,23054,22976,ENSG00000198646,ENSG00000157212,NCOA6,PAXIP1,anti bait coimmunoprecipitation,physical association,19433796|19047629,small scale,0.43
Q14686,Q9UBL3,23054,9070,ENSG00000198646,ENSG00000129691,NCOA6,ASH2L,anti bait coimmunoprecipitation,physical association,19047629|19433796,small scale,0.43
Q14686,Q15291,23054,5929,ENSG00000198646,ENSG00000117222,NCOA6,RBBP5,anti bait coimmunoprecipitation,physical association,19433796|19047629,small scale,0.43
P60709,Q14686,60,23054,ENSG00000075624,ENSG00000198646,ACTB,NCOA6,anti bait coimmunoprecipitation,physical association,19047629|19433796,small scale,0.43
P61964,Q14686,11091,23054,ENSG00000196363,ENSG00000198646,WDR5,NCOA6,anti bait coimmunoprecipitation,physical association,17021013|19047629|19433796,small scale,0.47
Q14686,Q9C005,23054,84661,ENSG00000198646,ENSG00000162961,NCOA6,DPY30,anti bait coimmunoprecipitation,physical association,19047629,small scale,0.37
P37231,Q9UBL3,5468,9070,ENSG00000132170,ENSG00000129691,PPARG,ASH2L,anti tag coimmunoprecipitation,physical association,19047629,small scale,0.37
P37231,Q15291,5468,5929,ENSG00000132170,ENSG00000117222,PPARG,RBBP5,anti tag coimmunoprecipitation,physical association,19047629,small scale,0.37
P37231,P61964,5468,11091,ENSG00000132170,ENSG00000196363,PPARG,WDR5,anti tag coimmunoprecipitation,physical association,19047629,small scale,0.37
P37231,Q14686,5468,23054,ENSG00000132170,ENSG00000198646,PPARG,NCOA6,anti tag coimmunoprecipitation,physical association,19047629,small scale,0.37
Q14457,Q99570,8678,30849,ENSG00000126581,ENSG00000196455,BECN1,PIK3R4,anti tag coimmunoprecipitation,physical association,19050071,small scale,0.37
P48736,Q14457,5294,8678,ENSG00000105851,ENSG00000126581,PIK3CG,BECN1,anti tag coimmunoprecipitation,physical association,19050071,small scale,0.37
Q14457,Q9H3D4,8678,8626,ENSG00000126581,ENSG00000073282,BECN1,TP63,anti tag coimmunoprecipitation,physical association,19050071,small scale,0.37
P61956,Q02078,6613,4205,ENSG00000188612,ENSG00000068305,SUMO2,MEF2A,anti tag coimmunoprecipitation,physical association,19684601,small scale,0.37
P63165,Q00613,7341,3297,ENSG00000116030,ENSG00000185122,SUMO1,HSF1,comigration in sds page,direct interaction,19684601,small scale,0.4
P63279,Q02078,7329,4205,ENSG00000103275,ENSG00000068305,UBE2I,MEF2A,nuclear magnetic resonance,direct interaction,19684601,small scale,0.4
Q9UKV8,Q9UPQ9,27161,23112,ENSG00000123908,ENSG00000100354,,TNRC6B,anti tag coimmunoprecipitation,physical association,19838187,small scale,0.37
Q9HCJ0,Q9UKV8,57690,27161,ENSG00000078687,ENSG00000123908,TNRC6C,,anti tag coimmunoprecipitation,physical association,19838187,small scale,0.37
Q16795,Q9NTG7,4704,23410,ENSG00000139180,ENSG00000142082,NDUFA9,SIRT3,anti tag coimmunoprecipitation,physical association,18794531,small scale,0.37
O15554,Q9NRX4,3783,29085,ENSG00000104783,ENSG00000054148,KCNN4,PHPT1,anti tag coimmunoprecipitation,physical association,18796614,small scale,0.37
P78406,Q14683,8480,8243,ENSG00000101146,ENSG00000072501,RAE1,SMC1A,anti bait coimmunoprecipitation|pull down,physical association,18832153,small scale,0.42
P46939,Q08209,7402,5530,ENSG00000152818,ENSG00000138814,UTRN,PPP3CA,anti bait coimmunoprecipitation,physical association,18838687,small scale,0.37
P62333,Q14997,5706,23198,ENSG00000100519,ENSG00000068878,PSMC6,PSME4,anti bait coimmunoprecipitation,physical association,18845680,small scale,0.37
Q14781,Q71DI3,84733,126961,ENSG00000173894,ENSG00000183598,CBX2,H3C14,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
P68431,Q14781,8350,84733,ENSG00000197409,ENSG00000173894,H3C1,CBX2,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
P84243,Q14781,3020,84733,ENSG00000132475,ENSG00000173894,H3-3A,CBX2,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
Q14781,Q99496,84733,6045,ENSG00000173894,ENSG00000121481,CBX2,RNF2,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
O00257,Q71DI3,8535,126961,ENSG00000141582,ENSG00000183598,CBX4,H3C14,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
O95503,Q71DI3,23466,126961,ENSG00000183741,ENSG00000183598,CBX6,H3C14,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
O95931,Q71DI3,23492,126961,ENSG00000100307,ENSG00000183598,CBX7,H3C14,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
Q71DI3,Q9HC52,126961,57332,ENSG00000183598,ENSG00000141570,H3C14,CBX8,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
O00257,P68431,8535,8350,ENSG00000141582,ENSG00000197409,CBX4,H3C1,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
O95503,P68431,23466,8350,ENSG00000183741,ENSG00000197409,CBX6,H3C1,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
O95931,P68431,23492,8350,ENSG00000100307,ENSG00000197409,CBX7,H3C1,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
P68431,Q9HC52,8350,57332,ENSG00000197409,ENSG00000141570,H3C1,CBX8,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
O00257,P84243,8535,3020,ENSG00000141582,ENSG00000132475,CBX4,H3-3A,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
O95503,P84243,23466,3020,ENSG00000183741,ENSG00000132475,CBX6,H3-3A,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
O95931,P84243,23492,3020,ENSG00000100307,ENSG00000132475,CBX7,H3-3A,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
P84243,Q9HC52,3020,57332,ENSG00000132475,ENSG00000141570,H3-3A,CBX8,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
O00257,Q99496,8535,6045,ENSG00000141582,ENSG00000121481,CBX4,RNF2,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
O95931,Q99496,23492,6045,ENSG00000100307,ENSG00000121481,CBX7,RNF2,nuclear magnetic resonance|x-ray crystallography|lambda repressor two hybrid|ion exchange chromatography|bimolecular fluorescence complementation|comigration in non denaturing gel electrophoresis|pull down,direct interaction|physical association,20696397|23523425|18927235,small scale,0.68
P29317,P35222,1969,1499,ENSG00000142627,ENSG00000168036,EPHA2,CTNNB1,anti bait coimmunoprecipitation,physical association,18948590,small scale,0.37
Q13315,Q7LG56,472,50484,ENSG00000149311,ENSG00000048392,ATM,RRM2B,anti bait coimmunoprecipitation|protein kinase assay,physical association|phosphorylation reaction,19015526,small scale,0.43
P62988,Q7LG56,,50484,,ENSG00000048392,,RRM2B,anti tag coimmunoprecipitation,physical association,19015526,small scale,0.37
P04637,Q7LG56,7157,50484,ENSG00000141510,ENSG00000048392,TP53,RRM2B,anti tag coimmunoprecipitation|anti bait coimmunoprecipitation,physical association,19015526,small scale,0.42
Q7LG56,Q8WXE1,50484,84126,ENSG00000048392,ENSG00000164053,RRM2B,ATRIP,anti bait coimmunoprecipitation,physical association,19015526,small scale,0.37
Q96AY2,Q96NY9,146956,80198,ENSG00000154920,ENSG00000172732,EME1,MUS81,anti tag coimmunoprecipitation,direct interaction,19017809,small scale,0.4
Q92698,Q96AY2,8438,146956,ENSG00000085999,ENSG00000154920,RAD54L,EME1,anti tag coimmunoprecipitation,physical association,19017809,small scale,0.37
Q7Z7A3,Q9BTM9,90353,81605,ENSG00000142544,ENSG00000167118,CTU1,URM1,anti tag coimmunoprecipitation|comigration in non denaturing gel electrophoresis,physical association|direct interaction,19017811|21209336,small scale,0.56
Q14457,Q6ZNE5,8678,22863,ENSG00000126581,ENSG00000126775,BECN1,ATG14,anti bait coimmunoprecipitation|anti tag coimmunoprecipitation|pull down,physical association|direct interaction,19050071|23112296|27513923,small scale,0.63
Q6ZNE5,Q8NEB9,22863,5289,ENSG00000126775,ENSG00000078142,ATG14,PIK3C3,anti tag coimmunoprecipitation,physical association,19050071,small scale,0.37
Q14457,Q8NEB9,8678,5289,ENSG00000126581,ENSG00000078142,BECN1,PIK3C3,anti tag coimmunoprecipitation|anti bait coimmunoprecipitation,physical association,19050071|27513923|23364696|27398911|24056303,small scale,0.59
Q14457,Q9P2Y5,8678,7405,ENSG00000126581,ENSG00000198382,BECN1,UVRAG,pull down|anti tag coimmunoprecipitation|anti bait coimmunoprecipitation,direct interaction|physical association,19050071|24056303,small scale,0.59
P78406,Q9UQE7,8480,9126,ENSG00000101146,ENSG00000108055,RAE1,SMC3,anti bait coimmunoprecipitation,physical association,18832153,small scale,0.37
P52948,P78406,4928,8480,ENSG00000110713,ENSG00000101146,NUP98,RAE1,pull down|molecular sieving|cosedimentation in solution|x-ray crystallography|anti bait coimmunoprecipitation,physical association|direct interaction,20498086|17172455|18832153,small scale,0.66
P46939,P62937,7402,5478,ENSG00000152818,ENSG00000196262,UTRN,PPIA,anti bait coimmunoprecipitation,physical association,18838687,small scale,0.37
Q13469,Q92793,4773,1387,ENSG00000101096,ENSG00000005339,NFATC2,CREBBP,pull down,direct interaction,19060202,small scale,0.4
P05412,Q8N1L9,3725,116071,ENSG00000177606,ENSG00000168062,JUN,BATF2,two hybrid|anti bait coimmunoprecipitation|anti tag coimmunoprecipitation,physical association,19074269,small scale,0.44
P48059,Q13418,3987,3611,ENSG00000169756,ENSG00000166333,LIMS1,ILK,x-ray crystallography|molecular sieving|pull down,direct interaction,19074270,small scale,0.49
P24390,P53618,10945,1315,ENSG00000105438,ENSG00000129083,KDELR1,COPB1,anti bait coimmunoprecipitation,physical association,19109439,small scale,0.37
P24723,Q16625,5583,100506658,ENSG00000027075,ENSG00000197822,PRKCH,OCLN,pull down|protein kinase assay,direct interaction|phosphorylation reaction,19114660,small scale,0.46
P25054,Q14114,324,7804,ENSG00000134982,ENSG00000157193,APC,LRP8,enzyme linked immunosorbent assay|surface plasmon resonance,direct interaction,19116273,small scale,0.46
P25054,Q9UNN8,324,10544,ENSG00000134982,ENSG00000101000,APC,PROCR,surface plasmon resonance,direct interaction,19116273,small scale,0.4
P02649,P98155,348,7436,ENSG00000130203,ENSG00000147852,APOE,VLDLR,enzyme linked immunosorbent assay,direct interaction,19116273,small scale,0.4
O95639,Q6P1J9,10898,79577,ENSG00000160917,ENSG00000134371,CPSF4,CDC73,anti bait coimmunoprecipitation,physical association,19136632,small scale,0.37
P33240,Q6P1J9,1478,79577,ENSG00000101811,ENSG00000134371,CSTF2,CDC73,anti bait coimmunoprecipitation,physical association,19136632,small scale,0.37
P62988,Q07820,,4170,,ENSG00000143384,,MCL1,anti bait coimmunoprecipitation|anti tag coimmunoprecipitation,physical association,20023629,small scale,0.42
Q07820,Q93008,4170,8239,ENSG00000143384,ENSG00000124486,MCL1,USP9X,enzymatic study|anti tag coimmunoprecipitation|anti bait coimmunoprecipitation,deubiquitination reaction|direct interaction|physical association,20023629,small scale,0.53
P62988,Q93008,,8239,,ENSG00000124486,,USP9X,enzymatic study,deubiquitination reaction,20023629,small scale,0.25
Q8TAQ2,Q9P2D1,6601,55636,ENSG00000139613,ENSG00000171316,SMARCC2,CHD7,anti bait coimmunoprecipitation,physical association,20130577,small scale,0.37
Q86U86,Q9P2D1,55193,55636,ENSG00000163939,ENSG00000171316,PBRM1,CHD7,anti bait coimmunoprecipitation,physical association,20130577,small scale,0.37
P63165,Q9UBT2,7341,10054,ENSG00000116030,ENSG00000126261,SUMO1,UBA2,comigration in sds page|cross-linking study,direct interaction,20164921,small scale,0.46
O15269,Q8N138,10558,94103,ENSG00000090054,ENSG00000172057,SPTLC1,ORMDL3,anti tag coimmunoprecipitation,physical association,20182505,small scale,0.37
Q13105,Q99684,7709,2672,ENSG00000116809,ENSG00000162676,ZBTB17,GFI1,anti bait coimmunoprecipitation,physical association,19164764,small scale,0.37
O14744,Q86UQ8,10419,58160,ENSG00000100462,ENSG00000230257,PRMT5,NFE4,pull down|anti bait coimmunoprecipitation|anti tag coimmunoprecipitation,direct interaction|physical association,19234465,small scale,0.53
P19387,Q8IXH7,5432,51497,ENSG00000102978,ENSG00000101158,POLR2C,NELFCD,anti tag coimmunoprecipitation,physical association,18562274,small scale,0.37
P54105,Q86UQ8,1207,58160,ENSG00000074201,ENSG00000230257,CLNS1A,NFE4,anti tag coimmunoprecipitation,physical association,19234465,small scale,0.37
Q13042,Q8NHZ8,8881,246184,ENSG00000130177,ENSG00000176386,CDC16,CDC26,molecular sieving|x-ray crystallography|circular dichroism|pull down,direct interaction|physical association,19668213,small scale,0.54
O95503,Q99496,23466,6045,ENSG00000183741,ENSG00000121481,CBX6,RNF2,bimolecular fluorescence complementation,direct interaction,18927235,small scale,0.4
Q15139,Q7KZI7,5587,2011,ENSG00000184304,ENSG00000072518,PRKD1,MARK2,protein kinase assay,phosphorylation reaction,19011111,small scale,0.25
Q15910,Q9P0M6,2146,55506,ENSG00000106462,ENSG00000099284,EZH2,MACROH2A2,anti bait coimmunoprecipitation,physical association,19734898,small scale,0.37
Q92769,Q9P0M6,3066,55506,ENSG00000196591,ENSG00000099284,HDAC2,MACROH2A2,anti tag coimmunoprecipitation,physical association,19734898,small scale,0.37
P06730,P62753,1977,6194,ENSG00000151247,ENSG00000137154,EIF4E,RPS6,pull down,physical association,18955708,small scale,0.37
Q2VPK5,Q7Z7A3,348180,90353,ENSG00000174177,ENSG00000142544,CTU2,CTU1,anti tag coimmunoprecipitation,physical association,19017811,small scale,0.37
P35222,Q01826,1499,6304,ENSG00000168036,ENSG00000182568,CTNNB1,SATB1,pull down|anti bait coimmunoprecipitation|anti tag coimmunoprecipitation|two hybrid,physical association|direct interaction,20126258,small scale,0.54
Q01726,Q8TCY5,4157,56246,ENSG00000258839,ENSG00000170262,MC1R,MRAP,anti tag coimmunoprecipitation,physical association,19329486,small scale,0.37
P13497,Q9H2X0,649,8646,ENSG00000168487,ENSG00000090539,BMP1,CHRD,protease assay,cleavage reaction,19429706,small scale,0.25
P49336,Q96RN5,1024,51586,ENSG00000132964,ENSG00000099917,CDK8,MED15,anti bait coimmunoprecipitation,physical association,20098423,small scale,0.37
Q15648,Q71SY5,5469,81857,ENSG00000125686,ENSG00000104973,MED1,MED25,anti bait coimmunoprecipitation,physical association,20098423,small scale,0.37
Q7Z4H7,Q9Y580,54801,10179,ENSG00000147874,ENSG00000076053,HAUS6,RBM7,anti tag coimmunoprecipitation,physical association,19369198,small scale,0.37
P17542,Q01196,6886,861,ENSG00000162367,ENSG00000159216,TAL1,RUNX1,anti tag coimmunoprecipitation,physical association,19497860,small scale,0.37
P06396,P10275,2934,367,ENSG00000148180,ENSG00000169083,GSN,AR,t7 phage display|two hybrid,direct interaction|physical association,19574450,small scale,0.48
Q12824,Q9P2D1,6598,55636,ENSG00000099956,ENSG00000171316,SMARCB1,CHD7,anti bait coimmunoprecipitation,physical association,20130577,small scale,0.37
P18847,P18848,467,468,ENSG00000162772,ENSG00000128272,ATF3,ATF4,anti tag coimmunoprecipitation|anti bait coimmunoprecipitation|electrophoretic mobility shift assay,physical association|direct interaction,19164757,small scale,0.53
P05556,P46109,3688,1399,ENSG00000150093,ENSG00000099942,ITGB1,CRKL,anti bait coimmunoprecipitation,physical association,19168626,small scale,0.37
P27540,Q16665,405,3091,ENSG00000143437,ENSG00000100644,ARNT,HIF1A,pull down,physical association,19168635,small scale,0.37
P25101,P49407,1909,408,ENSG00000151617,ENSG00000137486,EDNRA,ARRB1,anti bait coimmunoprecipitation,physical association,19202075,small scale,0.37
P25101,P32121,1909,409,ENSG00000151617,ENSG00000141480,EDNRA,ARRB2,anti bait coimmunoprecipitation,physical association,19202075,small scale,0.37
P12931,P25101,6714,1909,ENSG00000197122,ENSG00000151617,SRC,EDNRA,anti bait coimmunoprecipitation,physical association,19202075,small scale,0.37
O15169,P49407,8312,408,ENSG00000103126,ENSG00000137486,AXIN1,ARRB1,anti bait coimmunoprecipitation,physical association,19202075,small scale,0.37
Q53YX5,Q96RL1,,51720,,ENSG00000087206,,UIMC1,anti tag coimmunoprecipitation,physical association,19202061,small scale,0.37
P04626,P62988,2064,,ENSG00000141736,,ERBB2,,anti bait coimmunoprecipitation,physical association,19218427|19933325,small scale,0.43
P00751,P01024,629,718,ENSG00000241253,ENSG00000125730,CFB,C3,surface plasmon resonance,direct interaction,19255449,small scale,0.4
P62837,P62988,7322,,ENSG00000131508,,UBE2D2,,ion exchange chromatography|comigration in sds page|nuclear magnetic resonance|molecular sieving|x-ray crystallography,direct interaction,20152160|22902369|18264111,small scale,0.62
P53350,Q12888,5347,7158,ENSG00000166851,ENSG00000067369,PLK1,TP53BP1,protein kinase assay|anti bait coimmunoprecipitation|pull down,phosphorylation reaction|physical association,20126263,small scale,0.46
O00499,Q13936,274,775,ENSG00000136717,ENSG00000151067,BIN1,CACNA1C,anti tag coimmunoprecipitation,physical association,20169111,small scale,0.37
Q16531,Q8N5D0,1642,23038,ENSG00000167986,ENSG00000142784,DDB1,,x-ray crystallography|pull down,direct interaction,19966799,small scale,0.46
Q16531,Q8TEL6,1642,26133,ENSG00000167986,ENSG00000100991,DDB1,TRPC4AP,two hybrid,direct interaction,19966799,small scale,0.37
Q16531,Q8WV16,1642,26094,ENSG00000167986,ENSG00000119599,DDB1,DCAF4,x-ray crystallography,direct interaction,19966799,small scale,0.4
Q16531,Q96JK2,1642,8816,ENSG00000167986,ENSG00000139990,DDB1,DCAF5,x-ray crystallography,direct interaction,19966799,small scale,0.4
