drugName,entrezGeneIds,pubmedId,author
colforsin,111|108|2778,10592235,Berman HM (2000)
se-ethyl-isoselenourea,4846,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
2'-deoxycytidine,7084,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
alpha -beta-methyleneadenosine-5'-triphosphate,349565,17016423|17139284,Imming P (2006)|Overington JP (2006)
[2(r -s)-2-sulfanylheptanoyl]-phe-ala,4311,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
n-alpha-acetyl-3 -5-diiodotyrosylglycine,5066,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
al7182,760,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
1-amino-6-cyclohex-3-enylmethyloxypurine,1017,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
2-deoxy-glucose-6-phosphate,5837,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
adenosine phosphonoacetic acid,4830,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
n-(2 -3 -4 -5 -6-pentaflouro-benzyl)-4-sulfamoyl-benzamide,760,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
balanol analog 1,5566,10592235,Berman HM (2000)
decylamine-n -n-dimethyl-n-oxide,1723|5408,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
compound 19,2099|5770,17016423|17139284,Imming P (2006)|Overington JP (2006)
fr117016,100,10592235,Berman HM (2000)
sp7343-sp7964,5770,17016423|17139284,Imming P (2006)|Overington JP (2006)
latrunculin a,58|2934,10592235|3556584,Berman HM (2000)|Coue M (1987)
2-(oxalyl-amino)-benzoic acid,5770,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
aminophosphonic acid-guanylate ester,998,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
homoserine lactone,6548,17016423|17139284,Imming P (2006)|Overington JP (2006)
1-[3 -3-dimethyl-2-(2-methylamino-propionylamino)-butyryl]-pyrrolidine-2-carboxylic acid(1 -2 -3 -4-tetrahydro-naphthalen-1-yl)-amide,331,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
cibacron blue,1728|2950,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
n-[o-phosphono-pyridoxyl]-isoleucine,587,17016423|17139284,Imming P (2006)|Overington JP (2006)
9-hydroxy-8-methoxy-6-nitro-phenanthrol[3 -4-d][1 -3]dioxole-5-carboxylic acid,30814,10592235,Berman HM (2000)
oxaloacetate ion,6697|1431,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
terlipressin,554|553|552,17287200|17020465|16333859|16563128|17027167|16114100|15993108|16720725|17284170|16011575|16532916|11752352|17303660|16511036|17275806,Yi X (2007)|Boson WL (2006)|Slusarz MJ (2006)|Bouley R (2006)|Young WS (2006)|Jurkevich A (2005)|Volpi S (2006)|Wersinger SR (2007)|Hammock EA (2005)|Liedman R (2006)|Chen X (2002)|Aoyagi T (2007)|Adikesavan NV (2005)|Hiroyama M (2007)
fumagillin,10988,11752352,Chen X (2002)
n-dodecyl-n -n-dimethyl-3-ammonio-1-propanesulfonate,4129|3479,10592235,Berman HM (2000)
n-omega-propyl-l-arginine,4842|4843,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
nitrosoethane,4151,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
n-(5-cyclopropyl-1h-pyrazol-3-yl)benzamide,1017,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
(3-carboxy-2-(r)-hydroxy-propyl)-trimethyl-ammonium,54677|1384,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
{[2-(1h-1 -2 -3-benzotriazol-1-yl)-2-(3 -4-difluorophenyl)propane-1 -3-diyl]bis[4 -1-phenylene(difluoromethylene)]}bis(phosphonic acid),5770,17016423|17139284,Imming P (2006)|Overington JP (2006)
l-[(n-hydroxyamino)carbonyl]phenylalanine,1357,10592235,Berman HM (2000)
2-(4-morpholinyl)-8-phenyl-4h-1-benzopyran-4-one,5294|5292,10592235|17016423|17139284,Berman HM (2000)|Imming P (2006)|Overington JP (2006)
cholic acid,2104|1339|2235|1066|126|1346|4513|2172|5319|1349|1327|4514|9377|1340|4512|1351|1350|1329|1345,10592235|17016423|17139284,Berman HM (2000)|Imming P (2006)|Overington JP (2006)
filaminast,5142,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
adenosine-5'-diphosphate-2' -3'-vanadate,9061,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
novo nordisk a/s compound,5770,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
trans-2-phenylcyclopropylamine,5644,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
4-deoxy-alpha-d-glucose,8467,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
1-methylimidazole,4151,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
(4ar -6s -8ar)-11-[8-(1 -3-dioxo-1 -3-dihydro-2h-isoindol-2-yl)octyl]-6-hydroxy-3-methoxy-5 -6 -9 -10-tetrahydro-4ah-[1]benzofuro[3a -3 -2-ef][2]benzazepin-11-ium,43,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
2-[3-(2-hydroxy-1 -1-dihydroxymethyl-ethylamino)-propylamino]-2-hydroxymethyl-propane-1 -3-diol,5144,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
2-deoxy-2-aminogalactose,3963,17016423|17139284,Imming P (2006)|Overington JP (2006)
cyanamide,760,17016423|17139284,Imming P (2006)|Overington JP (2006)
meta vanadate,1163,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
5'-o-(n-(l-cysteinyl)-sulfamoyl)adenosine,2058,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
3-methylphenylalanine,1508,17016423|17139284,Imming P (2006)|Overington JP (2006)
s-{2-[amino(dihydroxy)-lambda~4~-sulfanyl]ethyl}-d-cysteine,383,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
nu1025,142,10592235,Berman HM (2000)
n-cholylglycine,2172,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
(6r -1'r -2's)-5 -6 -7 -8 tetrahydrobiopterin,4842|4846|4843|5053,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
6-aminohexyl-uridine-c1 -5'-diphosphate,2683,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
hydroxyaminovaline,4314|4322,17016423|17139284,Imming P (2006)|Overington JP (2006)
nicotinamide,142|683|3939|23408,11752352|17016423|17139284|10592235,Chen X (2002)|Imming P (2006)|Overington JP (2006)|Berman HM (2000)
6-[n-(1-isopropyl-1 -2 -3 -4-tetrahydro-7-isoquinolinyl)carbamyl]-2-naphthalenecarboxamidine,5328,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
resveratrol,4835|5742|1457|5743,15381063|15350128|11752352,Wang Z (2004)|Buryanovskyy L (2004)|Chen X (2002)
2 -3 --dihydroxybenzoylserine,3934,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
sorbinil,231,11752352|10592235,Chen X (2002)|Berman HM (2000)
3'-uridinemonophosphate,6035,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
compound 18,2099,17016423|17139284,Imming P (2006)|Overington JP (2006)
7-methyl-guanosine-5'-triphosphate,1977,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
c-(1-hydrogyl-beta-d-glucopyranosyl) formamide,5837,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
alpha-d-glucopyranosyl-2-carboxylic acid amide,5837,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
4-iodopyrazole,124|125|126,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
4-oxo-2-phenylmethanesulfonyl-octahydro-pyrrolo[1 -2-a]pyrazine-6-carboxylic acid [1-(n-hydroxycarbamimidoyl)-piperidin-4-ylmethyl]-amide,2147,17016423|17139284,Imming P (2006)|Overington JP (2006)
2-phosphoglycolic acid,2027|5313|2026|7167|5315,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
n-butyl-n'-hydroxyguanidine,4842,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
7-hydroxy-2-oxo-chromene-3-carboxylic acid ethyl ester,4282,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
4-methylthio-alpha-d-mannose,280,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
ethylmercurithiosalicylic acid,5019,10592235,Berman HM (2000)
purvalanol,1019|6733|5594|1017|5595,11752352|10592235|17016423|17139284,Chen X (2002)|Berman HM (2000)|Imming P (2006)|Overington JP (2006)
2-amino-3-oxo-4-sulfo-butyric acid,412,17016423|17139284,Imming P (2006)|Overington JP (2006)
3-indolebutyric acid,567|3105|28639|6955,10592235,Berman HM (2000)
cd564,5916,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
kifunensine,11253|4124,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
rpr131247,5644,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
uridine,11157,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
s-(methylmercury)-l-cysteine,79631,10592235,Berman HM (2000)
n-[amino(imino)methyl]glycine,2593,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
9-butyl-8-(3 -4 -5-trimethoxybenzyl)-9h-purin-6-amine,3326|3320,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
1-3 sugar ring of pentamannosyl 6-phosphate,4074,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
pyrazole,126,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
indolylpropionic acid,30814,10592235,Berman HM (2000)
4-methylumbelliferyl chitobiose,4069,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
s-mercaptocysteine,7263,10592235,Berman HM (2000)
ru79072,6714,10592235,Berman HM (2000)
5-mercapto-2-nitro-benzoic acid,3593,17016423|17139284,Imming P (2006)|Overington JP (2006)
3-hydroxy-myristic acid,7099|23643,10592235,Berman HM (2000)
sucrose,51493|4069|58,10592235|17016423|17139284,Berman HM (2000)|Imming P (2006)|Overington JP (2006)
(3-chloro-4-propoxy-phenyl)-acetic acid,5742,10592235,Berman HM (2000)
1 -3-propandiol,375,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
2 -5-anhydroglucitol-1 -6-biphosphate,2203,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
dodecane-trimethylamine,5781,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
4'-deoxy-4'-acetylyamino-pyridoxal-5'-phosphate,2806,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
n-[4-(2-{2-[3-(2-bromo-acetylamino)-propionylamino]-3-hydroxy-propionylamino}-ethyl)-phenyl]-oxalamic acid,5770,17016423|17139284,Imming P (2006)|Overington JP (2006)
pregnenolone,6820,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
p-anisic acid,5319|30814,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
9-deazainosine,4860,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
5-hydroxymethylene-6-hydrofolic acid,6470,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
3-phenyl-1 -2-propandiol,5972,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
uracil arabinose-3'-phosphate,6035,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
(2s -4r)-1-acetyl-n-[(1s)-4-[(aminoiminomethyl)amino]-1-(2-benzothiazolylcarbonyl)butyl]-4-hydroxy-2-pyrrolidinecarboxamide,5644,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
2-acetamido-2-deoxy-d-glucono-1 -5-lactone,3074,17016423|17139284,Imming P (2006)|Overington JP (2006)
iodo-willardiine,2891,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
1-azepan-1-yl-2-phenyl-2-(4-thioxo-1 -4-dihydro-pyrazolo[3 -4-d]pyrimidin-5-yl)ethanone adduct,3028,17016423|17139284,Imming P (2006)|Overington JP (2006)
canaline,4942,17016423|11752352|17139284,Imming P (2006)|Chen X (2002)|Overington JP (2006)
para-bromobenzyl alcohol,126,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
n-pyridoxyl-glycine-5-monophosphate,4953|6470,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
methylphosphonic acid ester group,43,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
7-(1 -1-dioxo-1h-benzo[d]isothiazol-3-yloxymethyl)-2-(oxalyl-amino)-4 -7-dihydro-5h-thieno[2 -3-c]pyran-3-carboxylic acid,5770,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
fr236913,100,10592235,Berman HM (2000)
dihydrogenphosphate ion,51181,17016423|17139284,Imming P (2006)|Overington JP (2006)
[4-(2-amino-4-methyl-thiazol-5-yl)-pyrimidin-2-yl]-(3-nitro-phenyl)-amine,1017|890,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
idd552,231,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
alpha-d-glucose 1 -6-bisphosphate,5236,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
o4-sulfonylgalactose,4153,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
3 -4-dihydro-2h-pyrrolium-5-carboxylate,1610,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
4-(1 -3-benzodioxol-5-yl)-5-(5-ethyl-2 -4-dihydroxyphenyl)-2h-pyrazole-3-carboxylic acid,3320,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
alpha-d-glucose-1-phosphate,5837,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
methylphosphinic acid,43,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
l-thioproline,308,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
{4-[3-(6 -7-diethoxy-quinazolin-4-ylamino)-phenyl]-thiazol-2-yl}-methanol,2203,10592235,Berman HM (2000)
(1-tert-butyl-5-hydroxy-1h-pyrazol-4-yl)-(6-methanesulfonyl-4'-methoxy-2-methyl-biphenyl-3-yl)-methanone,3242,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
domoic acid,2898,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
aetiocholanolone,3501|51170|6822,10592235|17016423|17139284,Berman HM (2000)|Imming P (2006)|Overington JP (2006)
n-(3-propylcarbamoyloxirane-2-carbonyl)-isoleucyl-proline,1508,10592235,Berman HM (2000)
guanosine,4860,17016423|17139284,Imming P (2006)|Overington JP (2006)
soraphen a,32,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
calyculin a,5501,17016423|17139284,Imming P (2006)|Overington JP (2006)
4-(aminosulfonyl)-n-[(3 -4 -5-trifluorophenyl)methyl]-benzamide,760,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
dansylamide,760,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
3''-(beta-chloroethyl)-2'' -4''-dioxo-3 - 5''-spiro-oxazolidino-4-deacetoxy-vinblastine,801,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
3-amino-5-phenylpentane,1513|1515,10592235|17016423|17139284,Berman HM (2000)|Imming P (2006)|Overington JP (2006)
3-butylthiolane 1-oxide,126,10592235,Berman HM (2000)
cis-[4 -5-bis-(4-bromophenyl)-2-(2-ethoxy-4-methoxyphenyl)-4 -5-dihydroimidazol-1-yl]-[4-(2-hydroxyethyl)piperazin-1-yl]methanone,4193,17016423|17139284,Imming P (2006)|Overington JP (2006)
1-(2 -6-dichlorophenyl)-5-(2 -4-difluorophenyl)-7-piperazin-1-yl-3 -4-dihydroquinazolin-2(1h)-one,1432,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
cra_1802,5644,10592235,Berman HM (2000)
ttnpb,5915,15546741|10592235,Alvarez R (2004)|Berman HM (2000)
3-(2-aminoethyl)-4-(aminomethyl)heptanedioic acid,210,17016423|17139284,Imming P (2006)|Overington JP (2006)
2' -3'-dehydro-2' -3'-deoxy-thymidine 5'-triphosphate,4830,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
fkb-001,2280,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
6-hydroxyuridine-5'-phosphate,7372,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
d-methionine,10988,17016423|17139284,Imming P (2006)|Overington JP (2006)
sulfamic acid 2 -3-o-(1-methylethylidene)-4 -5-o-sulfonyl-beta-fructopyranose ester,760,17016423|17139284,Imming P (2006)|Overington JP (2006)
3-(prop-2-ene-1-sulfinyl)-propene-1-thiol,2936,17016423|17139284,Imming P (2006)|Overington JP (2006)
5-{[(2-amino-9h-purin-6-yl)oxy]methyl}-2-pyrrolidinone,1017,17016423|17139284,Imming P (2006)|Overington JP (2006)
alpha-d-mannose 6-phosphate,3482|4074,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
dihydrotestosterone,367,10592235|17591767,Berman HM (2000)|Askew EB (2007)
3'-phosphate-adenosine-5'-phosphate sulfate,6783,17016423|17139284,Imming P (2006)|Overington JP (2006)
ru78783,6714,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
octanoyl-coenzyme a,1892|1632|34,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
2 -4-diamino-6-phenyl-5 -6 -7 -8 --tetrahydropteridine,4846,10592235,Berman HM (2000)
4-(2 -4-dimethyl-thiazol-5-yl)-pyrimidin-2-yl]-(4-trifluoromethyl-phenyl)-amine,1017|890,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
n-hydroxy-4-(methyl{[5-(2-pyridinyl)-2-thienyl]sulfonyl}amino)benzamide,55869,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
6-(4-difluoromethoxy-3-methoxy-phenyl)-2h-pyridazin-3-one,5144,10592235,Berman HM (2000)
2 -4-diamino-6-[n-(3' -4' -5'-trimethoxybenzyl)-n-methylamino]pyrido[2 -3-d]pyrimidine,1719,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
d-limonene 1 -2-epoxide,392399,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
piretanide,6557,11752352,Chen X (2002)
k201,308,10592235,Berman HM (2000)
phosphothiophosphoric acid-adenylate ester,5207,17016423|17139284,Imming P (2006)|Overington JP (2006)
coa-s-acetyl tryptamine,15,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
(2r)-n-[4-cyano-3-(trifluoromethyl)phenyl]-3-[(4-fluorophenyl)sulfonyl]-2-hydroxy-2-methylpropanamide,367,10592235,Berman HM (2000)
5'-deoxy-5'-(methylthio)-tubercidin,4507,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
1-methoxy-2-(2-methoxyethoxy)ethane,7184,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
4-(1-benzyl-3-carbamoylmethyl-2-methyl-1h-indol-5-yloxy)-butyric acid,5320,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
heptanoic acid,5319,10592235,Berman HM (2000)
inositol 1 -3-bisphosphate,8411,17016423|17139284,Imming P (2006)|Overington JP (2006)
hymenialdisine,1017|983|1020,17016423|11752352|17139284|10592235,Imming P (2006)|Chen X (2002)|Overington JP (2006)|Berman HM (2000)
alpha-aminoisobutyric acid,4852|1392,10592235,Berman HM (2000)
2-thiomethyl-3-phenylpropanoic acid,4317,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
(5-chloropyrazolo[1 -5-a]pyrimidin-7-yl)-(4-methanesulfonylphenyl)amine,1017,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
8 -9 -10-trihydroxy-7-hydroxymethyl-2-thioxo-6-oxa-1 -3-diaza-spiro[4.5]decan-4-one,5837,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
fluoro-willardiine,2891,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
n-ethylmaleimide,1178,17016423|17139284,Imming P (2006)|Overington JP (2006)
4-(5-bromo-2-oxo-2h-indol-3-ylazo)-benzenesulfonamide,1017,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
4-(4-chlorophenyl)imidazole,1555,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
pnu177836,5770,17016423|17139284,Imming P (2006)|Overington JP (2006)
n1 -n14-bis((s-methyl)isothioureido)tetradecane,4846,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
para-mercury-benzenesulfonic acid,1178|2100,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
4-[3-methylsulfanylanilino]-6 -7-dimethoxyquinazoline,1432,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
n-(2-thienylmethyl)-2 -5-thiophenedisulfonamide,760,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
cysteine-s-acetamide,4938|6035,10592235|17016423|17139284,Berman HM (2000)|Imming P (2006)|Overington JP (2006)
imino-tryptophan,1610,10592235,Berman HM (2000)
cra_10972,5644,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
s-ethyl-n-[4-(trifluoromethyl)phenyl]isothiourea,4842,10592235,Berman HM (2000)
hydroxydimethylarsine oxide,2779|231|4846,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
2-(thiomethylene)-4-methylpentanoic acid,10863,10592235,Berman HM (2000)
methyltrienolone,367|10499|5241,10592235|17016423|17139284,Berman HM (2000)|Imming P (2006)|Overington JP (2006)
quisqualate,2891|2898,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
glutathione sulfonic acid,2938|2950|2948,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
3 -8-diamino-6-phenyl-5-[6-[1-[2-[(1 -2 -3 -4-tetrahydro-9-acridinyl)amino]ethyl]-1h-1 -2 -3-triazol-5-yl]hexyl]-phenanthridinium,43,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
arsanilic acid,4069,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
5-fluoro-beta-l-gulosyl fluoride,4124,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
epothilone b,7278|81027|7846|10376|51807|10382|84790|10383|10381|7277|203068,17016423|17139284,Imming P (2006)|Overington JP (2006)
phenylalanine-n-sulfonamide,1357,10592235,Berman HM (2000)
di(n-acetyl-d-glucosamine),4069|2683,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
6-hydroxy-1 -6-dihydro purine nucleoside,100,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
cra_1801,5644,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
4-(2 -5-dichloro-thiophen-3-yl)-pyrimidin-2-ylamine,1017,17016423|17139284,Imming P (2006)|Overington JP (2006)
5-beta-d-ribofuranosylnicotinamide adenine dinucleotide,126,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
ulapualide a,58,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
1-tert-butyl-3-(4-chloro-phenyl)-1h-pyrazolo[3 -4-d]pyrimidin-4-ylamine,6714|4067|3932,10592235|17016423|17139284,Berman HM (2000)|Imming P (2006)|Overington JP (2006)
2-methyl-3-(2-aminothiazolo)propanal,5972,10592235,Berman HM (2000)
phosphoglycolohydroxamic acid,7167,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
1h-benoximidazole-2-carboxylic acid,1509,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
s-octylglutathione,2948,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
1-methyloxy-4-sulfone-benzene,4314|4322,17016423|17139284,Imming P (2006)|Overington JP (2006)
1 -8-di-hydroxy-4-nitro-anthraquinone,1457,10592235,Berman HM (2000)
4-(aminosulfonyl)-n-[(2 -5-difluorophenyl)methyl]-benzamide,760,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
nitrilotriacetic acid,4057,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
udp-alpha-d-glucuronic acid,26229,17016423|17139284,Imming P (2006)|Overington JP (2006)
5-phosphoarabinonic acid,2821,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
1-(5-tert-butyl-2-p-tolyl-2h-pyrazol-3-yl)-3-[4-(2-morpholin-4-yl-ethoxy)-naphthalen-1-yl]-urea,1432,17016423|17139284,Imming P (2006)|Overington JP (2006)
7-methoxy-8-[1-(methylsulfonyl)-1h-pyrazol-4-yl]naphthalene-2-carboximidamide,5328,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
6-carboxymethyluracil,1806,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
dazoxiben,6916,17016423|11752352|17139284|10592235,Imming P (2006)|Chen X (2002)|Overington JP (2006)|Berman HM (2000)
4-piperidino-piperidine,1066,10592235,Berman HM (2000)
2-aminobenzyl alcohol,1675,17016423|17139284,Imming P (2006)|Overington JP (2006)
acetoacetyl-coenzyme a,3033|35|1892,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
sri-9662,1719,17016423|17139284|10592235,Imming P (2006)|Overington JP (2006)|Berman HM (2000)
