diseaseId,diseaseName,entrezGeneIds
C0015696,fatty liver - alcoholic,1571|5465|6647
C2718067,alcoholic steatohepatitis,1571|5465|6647
C0040479,torsades de pointes,1576|3757|6331
C3151147,bile acid synthesis defect - congenital - 3,1581|9420
C4751204,hypercholesterolemia due to cholesterol 7alpha-hydroxylase deficiency,1581
C0238395,male pseudohermaphroditism,1583|2516|3973
C0342474,lipoid congenital adrenal hyperplasia,1583|6770
C3151055,adrenal insufficiency - congenital - with 46 -xy sex reversal - partial or complete,1583
C3489793,46 -xy sex reversal 3,1583|2516|3973
C3502132,adrenal insufficiency - congenital - with 46 -xy sex reversal,1583
C4707238,inherited isolated adrenal insufficiency due to partial cyp11a1 deficiency,1583
C0268292,congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency,1584
C1260386,glucocorticoid-remediable aldosteronism,1584|1585
C3669121,11-beta-hydroxylase deficiency,1584
C0020595,hypoaldosteronism,1585
C0268293,corticosterone methyl oxidase type i deficiency,1585
C0376185,hypoaldosteronism - hyporeninemic,1585
C3463917,corticosterone methyl oxidase type ii deficiency,1585
C4275180,familial hypoaldosteronism,1585
C0020635,hypopituitarism,1586|1588|3170|5617|89884
C0242342,sheehan syndrome,1586|1588|5617
C3277849,17 -20-lyase deficiency - isolated,1586
C0242341,sexual infantilism,1588
C0853662,oestrogen deficiency,1588
C1563718,genital infantilism,1588
C1960539,aromatase deficiency,1588
C1970109,aromatase excess syndrome,1588
C0342467,late onset congenital adrenal hyperplasia,1589
C1859995,hyperandrogenism - nonclassic type - due to 21-hydroxylase deficiency,1589
C2936858,congenital adrenal hyperplasia due to 21 hydroxylase deficiency,1589
C0268080,hypercalcemia - idiopathic - of infancy,1591|6569|9365
C0392525,nephrolithiasis,1591
C4310232,hypercalcemia - infantile - 1,1591|6569
C4310473,hypercalcemia - infantile - 2,1591|6569
C0238052,xanthomatosis - cerebrotendinous,1593
C0393720,reflex epilepsy - photosensitive,1593
C0035579,rickets,1594|5741|5745|7421
C0085655,polymyositis,1594|3552|3553|3569|7124
C0263984,polymyositis ossificans,1594|3552|3553|3569|7124
C0268689,vitamin d-dependent rickets - type 1,1594|120227
C0554591,polymyositis - idiopathic,1594|3552|3553|3569|7124
C3889636,spinocerebellar ataxia 37,1600|103753527
C0020800,idiopathic hypercatabolic hypoproteinemia,1604
C0267372,primary intestinal lymphangiectasia,1604
C4538570,complement hyperactivation - angiopathic thrombosis - and protein-losing enteropathy,1604
C0023092,lassa fever,1605
C0410174,fukuyama type congenital muscular dystrophy,1605|2218|9215|10329|10585|11041|29925|29954|55624|79147|84197|84892|148789|729920
C0457133,muscle eye brain disease,1605|2218|9215|10329|10585|11041|29925|29954|55624|79147|84197|84892|148789|729920
C0699743,congenital muscular dystrophy (disorder),1605|3679|3908|23224|84197|729920
C1836373,muscular dystrophy - limb-girdle - type 2k,1605|2218|9215|10329|10585|11041|29925|29954|55624|79147|84197|84892|148789|729920
C2936406,alpha-dystroglycanopathies,1605|2218|9215|10329|10585|11041|29925|29954|55624|79147|84197|84892|148789|729920
C3151184,muscular dystrophy-dystroglycanopathy (limb-girdle) - type c - 9,1605
C4225291,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies) - type a - 9,1605
C4284790,muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies) type a - 1,1605|2218|9215|10329|10585|11041|29925|29954|55624|79147|84197|84892|148789|729920
C1335167,ovarian mucinous adenocarcinoma,1613|2051|2065|2475|3055|4145|4638|4919|5218|6199|6259|7273|8295|8408|8999|9020|9625|9833|10188|10290|23139|26750|29959|53904|54861|65266|80216|120892|152110|388228|494551
C3809008,hypomyelination with brainstem and spinal cord involvement and leg spasticity,1615
C1839071,spermatogenic failure - nonobstructive - y-linked,1617|5940|8284|8287|8653|9081|9082|9083|9084|9085|9426|57054|57055|86614|140032|442862
C0342687,dopamine beta hydroxylase deficiency,1621
C4746777,orthostatic hypotension 1,1621
C1855371,maple syrup urine disease - type ii,1629
C0152018,esophageal carcinoma,1630|1956|6049|7048|11178|49860|51741
C0153942,benign neoplasm of esophagus,1630|1956|6049|7048|11178|51741
C0154059,carcinoma in situ of esophagus,1630|1956|6049|7048|11178|51741
C0175754,agenesis of corpus callosum,1630|5063|25942
C1846496,gaze palsy - familial horizontal - with progressive scoliosis,1630|64221
C3179058,corpus callosum malformation,1630|25942
C4479640,gaze palsy - familial horizontal - with progressive scoliosis - 2,1630
C4551964,gaze palsy - familial horizontal - with progressive scoliosis - 1,1630|64221
C1864738,corneal dystrophy - congenital stromal,1634
C0017924,glycogen storage disease type v,1636|5837
C0032310,pneumonia - viral,1636
C0948480,coronary restenosis,1636|4314|4524|7124|9370
C1175175,severe acute respiratory syndrome,1636
C2675470,microvascular complications of diabetes - susceptibility to - 3 (finding),1636
C1843315,neuronopathy - distal hereditary motor - type viib,1639
C1868594,perry syndrome,1639
C4749653,distal hereditary motor neuropathy type 7,1639|60482
C0431375,classical lissencephaly,1641|4335|5048
C1848199,x-linked lissencephaly,1641|4335
C1848201,subcortical band heterotopia,1641|2009|4335|5048
C1955870,classical lissencephalies and subcortical band heterotopias,1641|4335
C4551968,lissencephaly - x-linked - 1,1641|4335
C1848411,xeroderma pigmentosum - complementation group e,1643
C0085633,mood swings,1644|4135
C0342686,aromatic amino acid decarboxylase deficiency,1644
C1291564,deficiency of aromatic-l-amino-acid decarboxylase,1644
C0019269,hermaphroditism,1645|1646|3293|3973|8644
C0033804,pseudohermaphroditism,1645|1646|3293|3973|8644
C0266362,ambiguous genitalia,1645|1646|3293|3973|8644
C2930618,intersex conditions,1645|1646|3293|3973|8644
C3151303,obesity - hyperphagia - and developmental delay,1646|4915
C0017614,glaucoma - suspect,1649|2908|4312
C0028840,ocular hypertension,1649|2908|4312
C0206634,liposarcoma - myxoid,1649|2521
C3281084,congenital disorder of glycosylation type 1r,1650
C0796184,corpus callosum - agenesis of - with facial anomalies and robin sequence,1654
C4085582,mental retardation - x-linked 102,1654
C3150658,warsaw breakage syndrome,1663
C1857252,2 -4-dienoyl-coa reductase deficiency,1666|133686
C0031269,peutz-jeghers syndrome,1670|6794
C0155862,streptococcal pneumonia,1673|3576|5594|5595|10747|23411
C1832370,myopathy - myofibrillar - desmin-related,1674
C1858154,cardiomyopathy - dilated - 1i,1674
C1867005,scapuloperoneal syndrome - neurogenic - kaeser type,1674
C3148763,muscular dystrophy - limb-girdle - type 1e,1674|10049
C0398764,complement factor d deficiency,1675
C0796074,mohr-tranebjaerg syndrome,1678|6908
C1839564,jensen syndrome,1678
C0452138,sensorineural hearing loss - bilateral,1687|4641|9381
C1832932,deafness - autosomal dominant 5 (disorder),1687
C1852282,deafness - autosomal dominant 1 (disorder),1687|1729|4641
C1832425,deafness - autosomal dominant 9,1690
C3151513,mitochondrial dna depletion syndrome 3 (hepatocerebral type),1716
C3711385,deoxyguanosine kinase deficiency,1716|25939
C4310733,progressive external ophthalmoplegia with mitochondrial dna deletions - autosomal recessive 4,1716
C4310735,portal hypertension - noncirrhotic,1716
C4310935,mitochondrial dna depletion syndrome 3,1716
C0175694,smith-lemli-opitz syndrome,1717
C0282643,smith-lemli-opitz syndrome - type i,1717
C0282644,smith-lemli-opitz syndrome - type ii,1717
C2713347,7-dehydrocholesterol reductase deficiency,1717
C0034362,q fever,1718|3156|3949|4047|10211
C0519066,acute q fever,1718|3156|3949|4047|10211
C1443892,chronic q fever,1718|3156|3949|4047|10211
C1865596,desmosterolosis,1718
C2973787,coxiella burnetii infection,1718|3156|3949|4047|10211
C0002888,anemia - megaloblastic,1719|4129|6947|6948|8029
C0016412,folic acid deficiency,1719
C0268608,deficiency of dihydrofolate reductase,1719
C3151205,megaloblastic anemia due to dihydrofolate reductase deficiency,1719
C0265257,genee-wiedemann syndrome,1723
C0268193,nadh cytochrome b5 reductase deficiency,1727|1738
C2749559,methemoglobinemia - type i,1727
C2749560,methemoglobinemia - type ii,1727
C2749561,nadh-cytochrome b5 reductase deficiency - type i,1727
C2749562,nadh-cytochrome b5 reductase deficiency - type ii,1727
C0023466,leukemia - monocytic - chronic,1728|2122|3066|4297|5885|6603|6688|7001|7155|7422|8243|9126|10735|26040|27161|51527|55102|55904
C4225261,seizures - cortical blindness - and microcephaly syndrome,1729
C1845293,premature ovarian failure 2a,1730
C0020551,hyperthyroxinemia,1733
C1846142,hoyeraal-hreidarsson syndrome,1736|5073|7012|7015|26277|51750|55505|55651|64858|65057
C4225356,dyskeratosis congenita - autosomal recessive 6,1736|5073
C0034345,pyruvate dehydrogenase complex deficiency disease,1737|5160|5162|9361
C1855565,pyruvate dehydrogenase e2 deficiency,1737
C3492932,lactic acidosis - congenital infantile - due to lad deficiency,1738
C3275443,mental retardation - x-linked 90 (disorder),1741
C0265333,tricho-dento-osseous syndrome (disorder),1747
C0399373,amelogenesis imperfecta - hypomaturation hypoplasia type with taurodontism,1747
C1863012,amelogenesis imperfecta - type iv,1747
C4225209,orofacial cleft 15,1748
C0265554,ectrodactyly,1749|1750|7480|7979|8626|8945|58513
C1857344,split-hand-foot malformation with sensorineural hearing loss,1749|1750|727857
C2931019,split hand foot deformity 1,1750|7979
C0026851,muscular dystrophy - animal,1756|10891
C3668940,dmd-associated dilated cardiomyopathy,1756
C4554215,duchenne or becker muscular dystrophy,1756
C0342643,autosomal recessive hypophosphatemic vitamin d refractory rickets,1758|5167
C1832708,multiple synostoses syndrome 2,1758|8200
C3554446,brachydactyly - type a1 - c,1758|8200
C3809104,symphalangism - proximal - 1b,1758|8200
C4551495,hypophosphatemic rickets - autosomal recessive - 1,1758
C3463992,epileptic encephalopathy - early infantile - 1,1759|2775|6323|150094|170302|348980
C4225357,epileptic encephalopathy - early infantile - 31,1759
C3250443,myotonic dystrophy 1,1760|4154
C0018054,gonadal dysgenesis - 46 -xy,1761|2516|4214|6662|6736|7490|23414|84733
C0153594,malignant neoplasm of testis,1761|2067|2072|4254|6794|8314|55729
C1720811,tumor of rete testis,1761|2067|2072|4254|8314|55729
C2936694,swyer syndrome,1761|2516|4214|6662|6736|7490|84733
C3554599,progressive external ophthalmoplegia with mitochondrial dna deletions - autosomal dominant - 6,1763
C3891452,seckel syndrome 8,1763
C1837618,ciliary dyskinesia - primary - 3,1767
C4551720,primary ciliary dyskinesia,1767|1770|2302|2622|6103|6674|8481|8701|10309|23322|23639|25981|27019|27148|51364|54768|54919|55036|55130|55172|55764|56623|56683|64446|79925|83538|83544|83861|85016|85478|89765|92749|93233|115399|115948|123872|139212|161582|200373|221421|246176|339829|345643|345895|352909|374407|388389
C4317124,polynesian bronchiectasis,1770|2302|2622|6103|6674|8481|10309|23639|25981|27019|27148|51364|54768|54919|55036|55130|56683|79925|83538|83861|85016|85478|89765|92749|93233|115399|115948|139212|161582|200373|246176|345643|352909|374407|388389
C4551906,ciliary dyskinesia - primary - 1 - with or without situs inversus,1770|2302|2622|6103|6674|8481|10309|23639|25981|27019|27148|51364|54768|54919|55036|55130|56683|79925|83538|83861|85016|85478|89765|92749|93233|115399|115948|139212|161582|200373|246176|345643|352909|374407|388389
C4749028,ciliary dyskinesia - primary - 40,1770
C0343206,hypocomplementemic urticarial vasculitis,1776
C0043116,hmn (hereditary motor neuropathy) proximal type i,1778|4671|6606|6607
C0152109,juvenile spinal muscular atrophy,1778|4671|6606|6607
C0393538,muscular atrophy - spinal - type ii,1778|4671|6606|6607
C0431380,cortical dysplasia,1778|2475|3265|3340|3796|3800|5290|6505|6904|7283|10000|26128|284403|347733
C0700595,spinal muscular atrophies of childhood,1778|6606|6607
C1834690,spinal muscular atrophy - childhood - proximal - autosomal dominant,1778
C2931358,muscular atrophy - spinal - infantile chronic form,1778|4671|6606|6607
C3280220,charcot-marie-tooth disease - axonal - type 2o,1778
C3281202,mental retardation - autosomal dominant 13,1778
C4022810,abnormality of nervous system morphology,1781|2222|2806|5515|5898|10297|22884|23036|23162|192683
C1847902,charcot-marie-tooth disease - dominant intermediate b (disorder),1785
C3809272,lethal congenital contracture syndrome 5,1785
C0020071,hereditary sensory autonomic neuropathy - type 1,1786|4803|4914|9517|10558|25923|51062|54463
C0020072,hereditary sensory autonomic neuropathy - type 2,1786|4803|4914|6335|54463
C0020074,hsan type iv,1786|4803|4914|54463
C0020075,hereditary sensory autonomic neuropathy - type 5,1786|4803|4914|6335|6336|11280|54463
C0086405,hereditary sensory radicular neuropathy,1786|4803|4914|54463
C0699739,sensory neuropathy - hereditary,1786|4803|4914|6335|51062|54463
C1858804,cerebellar ataxia - deafness - and narcolepsy,1786
C2931852,clear-cell metastatic renal cell carcinoma,1786|1788|2324|7422
C3279885,hereditary sensory and autonomic neuropathy type ie,1786
C3807295,cerebellar ataxia - deafness - and narcolepsy - autosomal dominant,1786
C0023480,leukemia - myelomonocytic - chronic,1788|2120|2146|5159|7403|54790
C4014545,tatton brown rahman syndrome,1788
C0796113,nephroblastomatosis - fetal ascites - macrosomia and wilms tumor,1789|129563
C1656427,early onset schizophrenia,1789|4719|6663
C1834671,facioscapulohumeral muscular dystrophy 1b,1789|23347
C4551557,immunodeficiency-centromeric instability-facial anomalies syndrome 1,1789
C4225328,immunodeficiency 40,1794
C4749014,neurodevelopmental disorder with impaired intellectual development - hypotonia - and ataxia,1795
C2931004,congenital disorder of glycosylation type 1j,1798
C3553645,myasthenic syndrome - congenital - 13,1798
C4310801,developmental delay with short stature - dysmorphic features - and sparse hair,1801
C0220693,microcephaly autosomal dominant,1804
C0340493,paroxysmal familial ventricular fibrillation,1804|3784|6331|23630
C2751898,ventricular fibrillation - paroxysmal familial - 1,1804|6331
C4225375,mental retardation - autosomal dominant 33,1804
C0042345,varicosity,1805|3371|3782|4256|7076|7428
C0241210,speech delay,1806|2077|2903|3737|5728|9378|26040|26047|53335|85358|93986
C0274576,poisoning by fluorouracil,1806|7298
C0751257,auditory processing disorder - central,1806|2077|2903|3737|5728|9378|26040|26047|53335|85358|93986
C1959620,dihydropyrimidine dehydrogenase deficiency,1806
C3495551,dihydropyrimidinuria,1806|1807
C0342803,dihydropyrimidinase deficiency,1807
C0267662,congenital chloride diarrhea,1811
C0221480,recurrent depression,1812|1813|1814|1861|6285|6530|6532|7054|60482
C0020514,hyperprolactinemia,1813|2571|2796|3972|5617|5618
C0021776,intermittent explosive disorder,1813|1814|2354
C0024517,major depression - single episode,1813|3303|3304|3305|3350|3356|6281|7166|56267
C1834570,myoclonic dystonia,1813|1861|8910|79734|317714
C0030662,gambling - pathological,1814
C1860861,tremor - hereditary essential - 1,1814
C0003477,separation anxiety disorder,1815
C0012734,disruptive behavior disorder,1815|6285
C0029121,oppositional defiant disorder,1815|6285
C0040188,tic disorder,1815|6531
C0040702,transient tic disorder,1815|6531
C0338468,tic disorders - vocal,1815|6531
C0751553,childhood tic disorders,1815|6531
C0751554,motor tic disorders,1815|6531
C0005747,blepharospasm,1816
C2930898,benign essential blepharospasm,1816
C1864850,arrhythmogenic right ventricular dysplasia - familial - 11,1824
C2751292,hypotrichosis and recurrent skin vesicles,1825
C2931122,keratosis palmoplantaris striata 1,1828
C3809719,severe dermatitis - multiple allergies - metabolic wasting syndrome,1828|1832
C4707237,striate palmoplantar keratoderma,1828|1832|3848
C4755302,focal palmoplantar keratoderma with joint keratoses,1828
C4755309,diffuse palmoplantar keratoderma with painful fissures,1828
C1857777,arrhythmogenic right ventricular dysplasia - familial - 10,1829
C2752072,cardiomyopathy - dilated - 1bb,1829
C1843292,skin fragility-woolly hair syndrome,1832
C1843896,arrhythmogenic right ventricular dysplasia - familial - 8,1832
C1852127,keratosis palmoplantaris striata ii,1832
C1854063,cardiomyopathy dilated with woolly hair and keratoderma,1832
C1858302,ectodermal dysplasia/ skin fragility syndrome,1832|5317
C1864826,epidermolysis bullosa - lethal acantholytic,1832|3728
C4014393,cardiomyopathy - dilated - with woolly hair - keratoderma - and tooth agenesis,1832
C4721508,hamman-rich disease,1832|2099|2852|3091|4314|5073|5328|6440|6774|7012|7015|7474|10144|23250|51750|79991|91039|727897|729238
C4721509,usual interstitial pneumonia,1832|2099|2852|3091|4314|5073|5328|6440|6774|7012|7015|7474|10144|23250|51750|79991|91039|727897|729238
C4721952,familial idiopathic pulmonary fibrosis,1832|2099|2852|3091|4314|5073|5328|6440|6774|7012|7015|7474|10144|23250|51750|79991|91039|653509|727897|729238
C0011436,dentinogenesis imperfecta,1834
C0205730,hereditary opalescent dentin (disorder),1834
C0399378,dentinogenesis imperfecta - shield's type iii (disorder),1834
C0399379,dentin dysplasia - type 1,1834|9525|51066|64094
C0399380,dentin dyspalsia - shields type 2,1834
C1854146,deafness - autosomal dominant 39 - with dentinogenesis imperfecta 1,1834
C2973527,dentinogenesis imperfecta without osteogenesis imperfecta,1834|51567
C4049050,opalescent dentin,1834
C0220726,diastrophic dysplasia,1836
C0265274,achondrogenesis - type ib (disorder),1836
C1847593,epiphyseal dysplasia - multiple - 4,1836
C1850554,atelosteogenesis type 2,1836
C1850555,de la chapelle dysplasia,1836
C1857255,diastrophic dysplasia - broad bone-platyspondylic variant,1836
C0025281,meniere disease,1837|5579|84908
C1858725,noncompaction of left ventricular myocardium - familial isolated - autosomal dominant 1,1837
C0028945,oligodendroglioma,1840|2668|3280|3417|3418|23462|25913|57212
C0279070,adult oligodendroglioma,1840|2668|3280|3417|3418|23462|57212
C0280475,childhood oligodendroglioma,1840|2668|3280|3417|3418|23462|57212
C0280793,mixed oligodendroglioma-astrocytoma,1840|2668|3280|3417|3418|23462|57212
C0334590,anaplastic oligodendroglioma,1840|2668|3280|3417|3418|23462|25913|57212
C0344461,oligodendroblastoma,1840|2668|3280|3417|3418|23462|57212
C0751395,mixed oligodendroglioma-ependymoma,1840|2668|3280|3417|3418|23462|57212
C0751396,well differentiated oligodendroglioma,1840|2668|3280|3417|3418|23462|57212
C3808981,hypogonadotropic hypogonadism 19 with or without anosmia,1848
C0265205,robinow syndrome,1855|1857|2535|7474
C4225363,robinow syndrome - autosomal dominant 2,1855
C4551476,robinow syndrome - autosomal dominant,1855|1857|4920|7474
C4225164,robinow syndrome - autosomal dominant 3,1857
C0010964,dandy-walker syndrome,1858|2296|4811|90332
C3279839,mental retardation - autosomal dominant 7,1859
C0393598,idiopathic familial dystonia,1861|2741|2774|7915|8575|9757|55145
C0743332,focal dystonia,1861|2741|2774|7915|8575|9757|55145
C0752197,adult-onset dystonias,1861|2741|2774|7915|8575|9757|55145
C0752198,adult-onset idiopathic focal dystonias,1861|2741|2774|7915|8575|9757|55145
C0752199,adult-onset idiopathic torsion dystonias,1861|2741|2774|7915|8575|9757|55145
C0752200,autosomal dominant familial dystonia,1861|2741|2774|7915|8575|9757|55145
C0752201,autosomal recessive familial dystonia,1861|2741|2774|7915|8575|9757|55145
C0752202,childhood onset dystonias,1861|2741|2774|7915|8575|9757|55145
C0752203,dystonia - primary,1861|2741|2774|7915|8575|9757|55145
C0752205,dystonia - secondary,1861|2741|2774|7915|8575|9757|55145
C0752206,dystonias - sporadic,1861|2741|2774|7915|8575|9757|55145
C0752207,familial dystonia,1861|2741|2774|7915|8575|9757|55145
C0752208,pseudodystonia,1861|2741|2774|7915|8575|9757|55145
C1851945,dystonia 1 - torsion - autosomal dominant,1861
C3888090,early onset torsion dystonia,1861
C4316810,writer's cramp,1861|2741|2774|7915|8575|9757|55145
C0393912,segmental autonomic dysfunction,1889
C3151237,hirschsprung disease - cardiac defects - and autonomic dysfunction,1889
C0872218,mitochondrial neurogastrointestinal encephalopathy syndrome,1890|5428|50484
C1848586,visceral myopathy familial external ophthalmoplegia,1890|50484
C2749864,mitochondrial dna depletion syndrome 5 (encephalomyopathic with or without methylmalonic aciduria),1890|8803
C4551995,mitochondrial dna depletion syndrome 1,1890|5428
C4225391,mitochondrial short-chain enoyl-coa hydratase 1 deficiency,1892
C0023795,lipoid proteinosis of urbach and wiethe,1893
C0020608,hypodontia,1896|2260|3664|4040|4054|4487|5083|7039|7341|7480|8313|10265|80326|128178
C0162359,christ-siemens-touraine syndrome,1896|60401|128178
C1970757,tooth agenesis - selective - x-linked - 1,1896
C4082304,oligodontia,1896|2260|3664|4040|4487|5083|7039|7341|7480|8313|80326|128178
C3888024,cacosmia,1902
C0019212,hepatorenal syndrome,1906|3162
C0024799,marginal ulcer,1906|2520|3553
C0030920,peptic ulcer,1906|2520|3553
C0149745,oral ulcer,1906|3952
C0241832,cerebrovascular insufficiency,1906|5328
C0596298,cerebrovascular occlusion,1906|5328
C1865295,auriculo-condylar syndrome,1906|2773|5332
C2748545,question mark ears - isolated,1906
C3810332,auriculocondylar syndrome 3,1906
C4551996,auriculocondylar syndrome 1,1906|2773|5332
C1848519,waardenburg syndrome - type 4a,1908|1910|4286|6663
C2750457,waardenburg syndrome - type 4b,1908
C3150975,hirschsprung disease - susceptibility to - 4,1908
C3266898,waardenburg syndrome,1908|1910|4286|5077|6591|6663
C0242387,mandibulofacial dysostosis,1909|6949|9533|51082
C0520679,sleep apnea - obstructive,1909
C0751761,upper airway resistance sleep apnea syndrome,1909
C4225349,mandibulofacial dysostosis with alopecia,1909
C1838099,abcd syndrome,1910
C1838564,hirschsprung disease - susceptibility to - 2,1910
C2700265,waardenburg syndrome type 2,1910|4254|4286|6591|6663
C3809431,microcephaly 11 - primary - autosomal recessive,1911|11113
C4225337,epileptic encephalopathy - early infantile - 33,1917
C4225343,mental retardation - autosomal dominant 38,1917
C1836395,spinocerebellar ataxia 26,1938
C0220767,craniofrontonasal dysplasia,1947|64219
C0265780,congenital absence of lung,1948
C0456891,primary pulmonary hypoplasia,1948
C4082952,unilateral lung agenesis,1948
C4547080,unilateral lobar pulmonary agenesis,1948
C2673648,hypomagnesemia 4 - renal,1950
C4510731,familial primary hypomagnesemia with normocalciuria and normocalcemia,1950|54805
C1275078,acrocephalopolysyndactyly type 2,1954|51715
C3554247,carpenter syndrome 2,1954
C4551510,carpenter syndrome 1,1954|51715
C0345905,intrahepatic cholangiocarcinoma,1956|2064|2263|2778|3417|3418|3569|3845|4089|4843|5178|5566|5567|5728|5743|6092|6528|7157|8289|8314|10232|54894|55193|58508
C0349566,squamous cell carcinoma of tongue,1956
C0740277,bile duct carcinoma,1956|5774|100128252
C3805278,extrahepatic cholangiocarcinoma,1956|2064|2263|2778|3417|3418|3569|3845|4089|4843|5178|5566|5567|5728|5743|6092|6528|7157|8289|8314|10232|54894|55193|58508
C4015130,inflammatory skin and bowel disease - neonatal - 2,1956
C4751120,neonatal inflammatory skin and bowel disease,1956|6868
C0020295,hydronephrosis,1958|3418|5731|5743|9536
C0011195,dejerine-sottas disease (disorder),1959|2705|4359|5376|5981|23600|57716
C0019816,hereditary - type vii - motor and sensory neuropathy,1959|4359|5376|5981|23600|57716
C0035372,rett syndrome,1959|4204|5770|6792|9568
C0393818,congenital hypomyelinating neuropathy,1959
C0553580,ewings sarcoma,1959|2078|2115|2118|2130|2313|10735|25792
C1843247,charcot-marie-tooth disease - type 1d (disorder),1959
C4721436,neuropathy - congenital hypomyelinating - 1 - autosomal recessive,1959|4359
C4721437,charcot-marie-tooth disease - type 4e,1959
C0015624,fanconi syndrome,1962|2878|6514|6569|9213
C0341703,adult fanconi syndrome,1962|2878|6514|6569
C1857395,de toni-debre-fanconi syndrome,1962|2878|6514|6569
C3495427,fanconi-bickel syndrome,1962|2878|6514|6569
C3810100,fanconi renotubular syndrome 3,1962
C4551503,fanconi renotubular syndrome 1,1962|6569
C0220633,uveal melanoma,1964|2767|2776|5332|8314|23210|23451|57105
C1847967,ovarioleukodystrophy,1967|8890|8891|8892|8893|57505
C0011847,diabetes,1968|5080|26060
C1846278,mental retardation - epileptic seizures - hypogonadism and hypogenitalism - microcephaly - and obesity (disorder),1968
C1861825,cataract - posterior polar - 1,1969
C2880562,age-related cortical cataract,1969
C0394996,acute alcoholic intoxication,1974
C3280271,parkinson disease 18,1981
C0221023,cyclic neutropenia,1991
C1859966,neutropenia - severe congenital - autosomal dominant 1,1991|2672|6729|10312
C3671688,cyclic hematopoesis,1991
C0750952,biliary tract cancer,1999|5567
C0003499,supravalvular aortic stenosis,2006
C0268350,cutis laxa - autosomal dominant,2006|5832|10516
C1305147,congenital supravalvular aortic stenosis,2006
C3276539,cutis laxa - autosomal dominant 1,2006
C1838239,band heterotopia of brain,2009
C4284594,band heterotopia,2009
C0410189,muscular dystrophy - emery-dreifuss,2010|2273|4000|23224|23345|79188
C0410190,autosomal dominant emery-dreifuss muscular dystrophy (disorder),2010|4000|23224|23345|79188
C0751337,x-linked emery-dreifuss muscular dystrophy,2010|2273|4000|4625|23224|23345|79188
C1450051,autosomal recessive emery-dreifuss muscular dystrophy,2010|4000|23224|23345|79188
C0403396,steroid-sensitive nephrotic syndrome,2013
C4014507,nephrotic syndrome - type 10,2013
C0023531,leukoplakia,2017
C1704317,leukokeratosis,2017
C2752027,glycogen storage disease xiii,2027
C0586323,alcohol withdrawal seizures,2030|8777
C3150941,rubinstein-taybi syndrome 2,2033
C0030421,paraganglioma,2034|4191|5728|6390|6391|6392|6752|7157|7428|8314|54583|54949|55654
C1708353,hereditary paraganglioma-pheochromocytoma syndrome,2034|2271|2668|4149|4191|4221|4233|4286|4763|5979|6389|6390|6391|6392|7428|8085|8314|10461|23095|54583|54949|55654|112398
C2673187,erythrocytosis - familial - 4,2034
C0013902,elliptocytosis - hereditary,2035|2038|2995|6521|6708|6710
C2678497,elliptocytosis 1,2035
C3280285,mental retardation - autosomal dominant 11,2036
C2675192,spherocytosis - type 5,2038
C0346167,undifferentiated carcinoma of ovary,2047|115701
C0014474,ependymoma,2048|2668|5864|5970|9274|65998|79759|83546
C0205769,myxopapillary ependymoma,2048|2668|5864|9274|79759|83546
C0280788,anaplastic ependymoma,2048|2668|5864|9274|79759|83546
C0334578,papillary ependymoma,2048|2668|5864|9274|79759|83546
C1384403,cellular ependymoma,2048|2668|5864|9274|79759|83546
C1863600,prostate cancer/brain cancer susceptibility (finding),2048
C0431420,vein of galen aneurysm,2050
C4310629,lymphatic malformation 7,2050
C4748670,capillary malformation-arteriovenous malformation 2,2050
C1838570,ceroid lipofuscinosis - neuronal - 8,2055
C1864923,northern epilepsy syndrome,2055
C0036214,sarcoma - engelbreth-holm-swarm,2056
C0036216,sarcoma - experimental,2056
C0036219,sarcoma - jensen,2056
C0042510,ventricular fibrillation,2056|3630|3757|3764|5328|6336|6508|9992
C0152025,polyneuropathy,2056|6342|10908|23057
C0271683,polyneuropathy - motor,2056|6342|10908
C0393851,polyneuropathy - critical illness,2056|6342|10908
C0751448,polyneuropathy - familial,2056|6342|10908
C0751449,acquired polyneuropathy,2056|6342|10908
C2675471,microvascular complications of diabetes - susceptibility to - 2 (finding),2056
C2676137,diamond-blackfan anemia 1,2056|6223|51816
C4551637,erythrocytosis familial - 1,2056|2057|3039|3043|3091|3717|5313|10019|112398
C4693552,erythrocytosis - familial - 5,2056
C4693556,diamond-blackfan anemia-like,2056
C0032461,polycythemia,2057|2688|3039|3043|3717|7428|54583|55532
C0152264,familial erythrocytosis,2057
C4693733,leukodystrophy - hypomyelinating - 15,2058
C3892050,deafness - autosomal recessive 102,2059
C0013930,embolism - tumor,2064
C1843478,lethal congenital contracture syndrome 2,2065
C3715155,amyotrophic lateral sclerosis 19,2066
C0043346,xeroderma pigmentosum,2067|5429|7507|7508
C0220722,cerebrooculofacioskeletal syndrome 1,2067|2068|2073|2074
C1853100,cerebrooculofacioskeletal syndrome 4,2067
C1859312,camfak syndrome,2067|2068|2073
C2931277,pena shokeir syndrome type 2,2067|2068|2073
C0079153,hyperkeratosis - epidermolytic,2068|2707|3848|3858|127534
C0268138,xeroderma pigmentosum - complementation group d,2068
C1853102,cerebrooculofacioskeletal syndrome 2,2068
C1866504,photosensitive trichothiodystrophy,2068|2071|136647|404672
